ISBN10,ISBN13,Title,Author,Cover,Publisher,Pages,,
1857997573,9781857997576,Tea And Biscuits (Phoenix 60p Paperbacks),A L Kennedy,http://www.openisbn.com/cover/1857997573_72.jpg,Weidenfeld and Nicolson History,64,,
375402721,9780375402722,Original Bliss,A L Kennedy,http://www.openisbn.com/cover/0375402721_72.jpg,Knopf,213,,
688136230,9780688136239,The Deer Stand,A M Monson,http://www.openisbn.com/cover/0688136230_72.jpg,Beech Tree Books,0,,
380730138,9780380730131,Vinegar Hill (Oprah's Book Club),A Manette Ansay,http://www.openisbn.com/cover/0380730138_72.jpg,Harper Perennial,256,,
688180639,9780688180638,Vinegar Hill: A Novel,A Manette Ansay,http://www.openisbn.com/cover/0688180639_72.jpg,William Morrow,256,,
038072975X,9780380729753,Midnight Champagne: A Novel: A Novel,A Manette Ansay,http://www.openisbn.com/cover/038072975X_72.jpg,Harper Perennial,240,,
380730774,9780380730773,Read This And Tell Me What It Says: Stories,A Manette Ansay,http://www.openisbn.com/cover/0380730774_72.jpg,Harper Perennial,160,,
380729768,9780380729760,Sister,A Manette Ansay,http://www.openisbn.com/cover/0380729768_72.jpg,Harper Perennial,240,,
452281423,9780452281424,The Claiming Of Sleeping Beauty,A N Roquelaure,,,,,
452281458,9780452281455,Beauty's Release: The Conclusion Of The Classic Erotic Trilogy Of Sleeping Beauty,A N Roquelaure,,,,,
452281431,9780452281431,Beauty's Punishment (Sleeping Beauty),A N Roquelaure,,,,,
399151648,9780399151644,Kate Remembered,A Scott Berg,http://www.openisbn.com/cover/0399151648_72.jpg,Putnam Adult,384,,
067166865X,9780671668655,STAR TREK YESTERDAY'S SON (Star Trek: The Original Series),AC Crispin,,,,,
881842214,9780881842210,The Prisoner In The Opal,AEW Mason,http://www.openisbn.com/cover/0881842214_72.jpg,Carroll and Graf,354,,
944072917,9780944072912,Soon: Tales From Hospice,AG Mojtabai,http://www.openisbn.com/cover/0944072917_72.jpg,Zoland Books,224,,
553373730,9780553373738,Fractured Fairy Tales,AJ Jacobs,http://www.openisbn.com/cover/0553373730_72.jpg,Bantam,192,,
874493803,9780874493801,A First Book Of Shapes (Preschool Dinosaur Playhouse),AJ Wood,http://www.openisbn.com/cover/0874493803_72.jpg,Modern Publishing,0,,
811828379,9780811828376,The Golden Egg (Templar),AJ Wood,,,,,
385044011,9780385044011,Poems That Touch The Heart,AL Alexander,http://www.openisbn.com/cover/0385044011_72.jpg,Doubleday,464,,
684827107,9780684827100,The End Of Alice,AM Homes,http://www.openisbn.com/cover/0684827107_72.jpg,Scribner,272,,
965735974,9780965735971,Some Things You Should Know (A Collection Of Stories),AM Homes,http://www.openisbn.com/cover/0965735974_72.jpg,HarperCollinsPublishers,243,,
679405135,9780679405139,Babel Tower,AS Byatt,http://www.openisbn.com/cover/0679405135_72.jpg,Random House,623,,
394586239,9780394586236,Possession: A Romance,AS Byatt,http://www.openisbn.com/cover/0394586239_72.jpg,Random House,555,,
679751343,9780679751342,Angels and Insects: Two Novellas,AS Byatt,http://www.openisbn.com/cover/0679751343_72.jpg,Vintage,352,,
679742565,9780679742562,The Game: A Novel,AS Byatt,http://www.openisbn.com/cover/0679742565_72.jpg,Vintage,288,,
679735909,9780679735908,Possession,AS Byatt,http://www.openisbn.com/cover/0679735909_72.jpg,Vintage,576,,
679405127,9780679405122,Angels and Insects: Two Novellas,AS Byatt,http://www.openisbn.com/cover/0679405127_72.jpg,Random House,339,,
679642382,9780679642381,Possession: A Romance (Modern Library),AS Byatt,http://www.openisbn.com/cover/0679642382_72.jpg,Modern Library,640,,
156814161,9780156814164,The Shadow Of The Sun,AS Byatt,http://www.openisbn.com/cover/0156814161_72.jpg,Mariner Books,324,,
679738290,9780679738299,The Virgin In The Garden,AS Byatt,http://www.openisbn.com/cover/0679738290_72.jpg,Vintage Books,432,,
671319930,9780671319939,Sidhe-Devil,Aaron Allston,http://www.openisbn.com/cover/0671319930_72.jpg,Baen,512,,
451528670,9780451528674,What To Listen For In Music,Aaron Copland,,,,,
446400564,9780446400565,Dead Men's Hearts,Aaron Elkins,http://www.openisbn.com/cover/0446400564_72.jpg,Mysterious Press,256,,
446404039,9780446404037,The Dark Place,Aaron Elkins,http://www.openisbn.com/cover/0446404039_72.jpg,Mysterious Press,200,,
380731630,9780380731633,Skeleton Dance (Gideon Oliver Mysteries),Aaron Elkins,http://www.openisbn.com/cover/0380731630_72.jpg,Avon,352,,
446405264,9780446405263,Twenty Blue Devils (Gideon Oliver Mysteries),Aaron Elkins,http://www.openisbn.com/cover/0446405264_72.jpg,Mysterious Press,288,,
449149005,9780449149003,Deceptive Clarity,Aaron Elkins,http://www.openisbn.com/cover/0449149005_72.jpg,Fawcett,251,,
449148297,9780449148297,A Glancing Light (Chris Norgren Mysteries),Aaron Elkins,http://www.openisbn.com/cover/0449148297_72.jpg,Fawcett,246,,
446403083,9780446403085,Make No Bones,Aaron Elkins,http://www.openisbn.com/cover/0446403083_72.jpg,Mysterious Pr,234,,
446400408,9780446400404,Icy Clutches,Aaron Elkins,http://www.openisbn.com/cover/0446400408_72.jpg,Mysterious Pr,10,,
445408642,9780445408647,Curses!,Aaron Elkins,http://www.openisbn.com/cover/0445408642_72.jpg,Mysterious Pr,10,,
743232933,9780743232937,Ruminations On College Life,Aaron Karo,http://www.openisbn.com/cover/0743232933_72.jpg,Touchstone,176,,
740713957,9780740713958,Fresh For '01... You Suckas: A Boondocks Collection,Aaron McGruder,http://www.openisbn.com/cover/0740713957_72.jpg,Andrews McMeel Publishing,128,,
1400060265,9781400060269,Honku: The Zen Antidote To Road Rage,Aaron Naparstek,http://www.openisbn.com/cover/1400060265_72.jpg,Villard,128,,
312265611,9780312265618,Bloodroot: A Novel,Aaron Roy Even,http://www.openisbn.com/cover/0312265611_72.jpg,Thomas Dunne Books,272,,
671441035,9780671441036,Heritage: Civilization And The Jews,Abba Eban,http://www.openisbn.com/cover/0671441035_72.jpg,Summit Books,354,,
934211477,9780934211475,Tales Of Two Cities: A Persian Memoir,Abbas Milani,http://www.openisbn.com/cover/0934211477_72.jpg,Mage Publishers,264,,
789300354,9780789300355,Growing Gardener,Abbie Zabar,http://www.openisbn.com/cover/0789300354_72.jpg,Universe,111,,
28612671,9780028612676,Simply Heavenly!: The Monastery Vegetarian Cookbook,Abbot George Burke,http://www.openisbn.com/cover/0028612671_72.jpg,John Wiley and Sons Inc,362,,
743411943,9780743411943,The Book Of Fred: A Novel,Abby Bardi,http://www.openisbn.com/cover/0743411943_72.jpg,Washington Square Press,320,,
877201358,9780877201359,LA Gran Aventura De Alejandro (Spanish Edition),Abby Kanter,http://www.openisbn.com/cover/0877201358_72.jpg,Amsco School Pubns,0,,
393038548,9780393038545,Recipes From The Dump,Abigail Stone,http://www.openisbn.com/cover/0393038548_72.jpg,W W Norton and Co Inc,271,,
380728826,9780380728824,Recipes From The Dump,Abigail Stone,http://www.openisbn.com/cover/0380728826_72.jpg,Harper Perennial,0,,
836279077,9780836279078,The Best Of Dear Abby,Abigail Van Buren,http://www.openisbn.com/cover/0836279077_72.jpg,Andrews Mcmeel Pub,252,,
60174056,9780060174057,The Tennis Partner,Abraham Verghese,http://www.openisbn.com/cover/0060174056_72.jpg,Harper,400,,
679752927,9780679752929,My Own Country: A Doctor's Story,Abraham Verghese,http://www.openisbn.com/cover/0679752927_72.jpg,Vintage,432,,
671785141,9780671785147,My Own Country.,Abraham Verghese,http://www.openisbn.com/cover/0671785141_72.jpg,Simon And Schuster,,,
694016446,9780694016440,Spider-Man: I Am Spider-Man,Acton Figueroa,http://www.openisbn.com/cover/0694016446_72.jpg,HarperCollins,32,,
345451260,9780345451262,Househusband,Ad Hudler,http://www.openisbn.com/cover/0345451260_72.jpg,Ballantine Books,304,,
345470621,9780345470621,Househusband,Ad Hudler,http://www.openisbn.com/cover/0345470621_72.jpg,Ballantine Books,304,,
152045708,9780152045708,Troy,Ada le Geras,http://www.openisbn.com/cover/0152045708_72.jpg,Graphia,376,,
789426277,9780789426277,Forgotten Fire,Adam Bagdasariam,http://www.openisbn.com/cover/0789426277_72.jpg,DK CHILDREN,288,,
451188497,9780451188496,Flawless,Adam Barrow,http://www.openisbn.com/cover/0451188497_72.jpg,Signet,416,,
1587991039,9781587991035,Technomanifestos: Visions Of The Information Revolutionaries,Adam Brate,http://www.openisbn.com/cover/1587991039_72.jpg,Texere,288,,
006008118X,9780060081188,Mr. Lincoln's Wars: A Novel In Thirteen Stories,Adam Braver,http://www.openisbn.com/cover/006008118X_72.jpg,William Morrow,320,,
1573229385,9781573229388,The Frog King,Adam Davies,http://www.openisbn.com/cover/1573229385_72.jpg,Riverhead Trade,316,,
375758232,9780375758232,Paris To The Moon,Adam Gopnik,http://www.openisbn.com/cover/0375758232_72.jpg,Random House Trade Paperbacks,368,,
385501676,9780385501675,You Are Not A Stranger Here,Adam Haslett,http://www.openisbn.com/cover/0385501676_72.jpg,Nan A. Talese,256,,
385509529,9780385509527,You Are Not A Stranger Here (Today Show Book Club #2),Adam Haslett,http://www.openisbn.com/cover/0385509529_72.jpg,Nan A. Talese,,,
385720726,9780385720724,You Are Not A Stranger Here: Stories,Adam Haslett,http://www.openisbn.com/cover/0385720726_72.jpg,Anchor,256,,
826452310,9780826452313,Kazuo Ishiguro's The Remains Of The Day: A Reader's Guide (Continuum Contemporaries),Adam Parkes,http://www.openisbn.com/cover/0826452310_72.jpg,Continuum,96,,
64472612,9780064472616,The Copper Elephant,Adam Rapp,http://www.openisbn.com/cover/0064472612_72.jpg,HarperTempest,288,,
394721039,9780394721033,Money Game,Adam Smith,http://www.openisbn.com/cover/0394721039_72.jpg,Vintage,272,,
671770438,9780671770433,DEVIL'S HEAVEN (Neil Hockaday Mystery),Adcock,http://www.openisbn.com/cover/0671770438_72.jpg,Pocket,288,,
912310782,9780912310787,New Art Of Belly Dancing,Adela Vengana,,,,,
380818078,9780380818075,When It's Perfect (Avon Romantic Treasures),Adele Ashworth,http://www.openisbn.com/cover/0380818078_72.jpg,Avon,384,,
038081806X,9780380818068,Someone Irresistible (Avon Romantic Treasure),Adele Ashworth,http://www.openisbn.com/cover/038081806X_72.jpg,Avon,384,,
380570009,9780380570003,How To Talk So Kids Will Listen And Listen So Kids Will Talk,Adele Faber,,,,,
684824728,9780684824727,How To Talk So Kids Can Learn,Adele Faber,,,,,
786813334,9780786813339,The Other Shepards,Adele Griffin,http://www.openisbn.com/cover/0786813334_72.jpg,Hyperion,224,,
312288115,9780312288112,Confessions Of A Sociopathic Social Climber: The Katya Livingston Chronicles,Adele Lang,http://www.openisbn.com/cover/0312288115_72.jpg,Thomas Dunne Books,208,,
671775464,9780671775469,Playing Away,Adele Parks,http://www.openisbn.com/cover/0671775464_72.jpg,Pocket Books,336,,
096146206X,9780961462062,Luna Yoga : Vital Fertility And Sexuality,Adelheid Ohlig,http://www.openisbn.com/cover/096146206X_72.jpg,Ash Tree Pub,192,,
767903579,9780767903578,Falling Leaves: The Memoir Of An Unwanted Chinese Daughter,Adeline Yen Mah,http://www.openisbn.com/cover/0767903579_72.jpg,Broadway,278,,
140265988,9780140265989,Falling Leaves: The True Story Of An Unwanted Chinese Daughter,Adeline Yen Mah,http://www.openisbn.com/cover/0140265988_72.jpg,Penguin Putnam~trade,288,,
1863736522,9781863736527,Seasonal Adjustments,Adib Khan,http://www.openisbn.com/cover/1863736522_72.jpg,Allen and Unwin,304,,
1568304706,9781568304700,Adobe(R) Illustrator(R) 8.0 Classroom In A Book,Adobe Systems Inc,,,,,
883441047,9780883441046,Christ In A Poncho: Testimonials Of The Nonviolent Struggles In Latin America,Adolfo Perez Esquivel,http://www.openisbn.com/cover/0883441047_72.jpg,Orbis Books,139,,
536597073,9780536597076,The Masai: A Proud People,Adrian Ann Rapp,http://www.openisbn.com/cover/0536597073_72.jpg,Simon and Schuster Custom Pub,121,,
920656404,9780920656402,Mammals Of The Canadian Wild,Adrian Forsyth,http://www.openisbn.com/cover/0920656404_72.jpg,Camden House,352,,
920656080,9780920656082,The Architecture Of Animals: The Equinox Guide To Wildlife Structures,Adrian Forsyth,http://www.openisbn.com/cover/0920656080_72.jpg,Camden House,72,,
920656943,9780920656945,Exploring The World Of Birds: An Equinox Guide To Avian Life,Adrian Forsyth,,,,,
850315336,9780850315332,Nothingmas Day,Adrian Mitchell,http://www.openisbn.com/cover/0850315336_72.jpg,Allison and Busby,96,,
6276199,9780006276197,Alien At St Wilfred's,Adrian Plass,http://www.openisbn.com/cover/0006276199_72.jpg,Zondervan,224,,
551031123,9780551031128,Why I Follow Jesus,Adrian Plass,http://www.openisbn.com/cover/0551031123_72.jpg,Zondervan,64,,
551032510,9780551032514,Colours Of Survival: Discovering Hope In Bangladesh,Adrian Plass,,,,,
551031085,9780551031081,Stress Family Robinson 2,Adrian Plass,http://www.openisbn.com/cover/0551031085_72.jpg,Zondervan,256,,
345438329,9780345438324,Big Stone Gap: A Novel (Big Stone Gap Novels),Adriana Trigiani,http://www.openisbn.com/cover/0345438329_72.jpg,Ballantine Books,304,,
345445856,9780345445858,Milk Glass Moon: A Novel (Ballantine Reader's Circle),Adriana Trigiani,http://www.openisbn.com/cover/0345445856_72.jpg,Ballantine Books,288,,
345459202,9780345459206,Big Stone Gap,Adriana Trigiani,http://www.openisbn.com/cover/0345459202_72.jpg,Fawcett,320,,
3453870212,9783453870215,Herbstwolken: Roman,Adriana Trigiani,http://www.openisbn.com/cover/3453870212_72.jpg,Heyne Verlag,320,,
743430344,9780743430340,BIG CHERRY HOLLER,Adriana Trigiani,http://www.openisbn.com/cover/0743430344_72.jpg,POCKET BOOKS,304,,
345445848,9780345445841,Big Cherry Holler: A Novel (Big Stone Gap Novels),Adriana Trigiani,http://www.openisbn.com/cover/0345445848_72.jpg,Ballantine Books,304,,
375504036,9780375504037,Big Stone Gap,Adriana Trigiani,http://www.openisbn.com/cover/0375504036_72.jpg,Random House,288,,
375506187,9780375506185,Milk Glass Moon: A Big Stone Gap Novel (Big Stone Gap Novels),Adriana Trigiani,http://www.openisbn.com/cover/0375506187_72.jpg,Random House,272,,
1559723009,9781559723008,Martina: The Lives And Times Of Martina Navratilova,Adrianne Blue,http://www.openisbn.com/cover/1559723009_72.jpg,Birch Lane Pr,227,,
373226780,9780373226788,Prince Under Cover (Chicago Confidential #3 Harlequin Intrigue #678),Adrianne Lee,http://www.openisbn.com/cover/0373226780_72.jpg,Harlequin,256,,
970351704,9780970351708,Making Scenes,Adrienne Eisen,http://www.openisbn.com/cover/0970351704_72.jpg,Broadvision,200,,
1869503171,9781869503178,Spirit Writing,Adrienne Jansen,http://www.openisbn.com/cover/1869503171_72.jpg,Flamingo,303,,
312261357,9780312261351,Claiming Kin: Confronting The History Of An African American Family,Afi-Odelia E Scruggs,http://www.openisbn.com/cover/0312261357_72.jpg,St. Martin's Press,224,,
1594140812,9781594140815,Becoming Maren,Africa Fine,http://www.openisbn.com/cover/1594140812_72.jpg,Five Star (ME),0,,
553256785,9780553256789,Sleeping Murder,Agatha Christie,http://www.openisbn.com/cover/0553256785_72.jpg,Bantam,0,,
451200993,9780451200990,Sleeping Murder (Miss Marple Mysteries),Agatha Christie,http://www.openisbn.com/cover/0451200993_72.jpg,NAL Trade,224,,
812970101,9780812970104,The Mysterious Affair At Styles: A Detective Story (Modern Library Classics),Agatha Christie,,,,,
425173755,9780425173756,Murder On The Orient Express (Hercule Poirot Mysteries),Agatha Christie,http://www.openisbn.com/cover/0425173755_72.jpg,Berkley,256,,
451199871,9780451199874,The Body In The Library (Miss Marple),Agatha Christie,http://www.openisbn.com/cover/0451199871_72.jpg,Signet,224,,
067170463X,9780671704636,Murder On The Orient Express,Agatha Christie,http://www.openisbn.com/cover/067170463X_72.jpg,Pocket Books,0,,
067170091X,9780671700911,Endless Night,Agatha Christie,http://www.openisbn.com/cover/067170091X_72.jpg,Pocket Books,0,,
671705997,9780671705992,Easy To Kill,Agatha Christie,http://www.openisbn.com/cover/0671705997_72.jpg,Pocket Books,0,,
671704664,9780671704667,And Then There Were None,Agatha Christie,http://www.openisbn.com/cover/0671704664_72.jpg,Pocket Books,0,,
312979479,9780312979478,And Then There Were None,Agatha Christie,http://www.openisbn.com/cover/0312979479_72.jpg,St. Martin's Paperbacks,288,,
2253003964,9782253003960,Dix Petits Negres,Agatha Christie,http://www.openisbn.com/cover/2253003964_72.jpg,Le Livre De Poche,256,,
61002860,9780061002861,The Murder Of Roger Ackroyd,Agatha Christie,http://www.openisbn.com/cover/0061002860_72.jpg,Harpercollins (Mm),288,,
425068064,9780425068069,Three Blind Mice And Other Stories,Agatha Christie,http://www.openisbn.com/cover/0425068064_72.jpg,Berkley,224,,
312975120,9780312975128,The Unexpected Guest,Agatha Christie,http://www.openisbn.com/cover/0312975120_72.jpg,St. Martin's Paperbacks,304,,
3502506809,9783502506805,Das Schicksal In Person. Ein Miss- Marple Krimi.,Agatha Christie,http://www.openisbn.com/cover/3502506809_72.jpg,Fischer Scherz,156,,
425068099,9780425068090,The Witness For The Prosecution: And Other Stories,Agatha Christie,http://www.openisbn.com/cover/0425068099_72.jpg,Berkley,340,,
425105695,9780425105696,The Moving Finger: A Miss Marple Murder Mystery,Agatha Christie,http://www.openisbn.com/cover/0425105695_72.jpg,Berkley,200,,
425067866,9780425067864,The Man In The Brown Suit (Agatha Christie Mysteries Collection),Agatha Christie,http://www.openisbn.com/cover/0425067866_72.jpg,Berkley,240,,
425129586,9780425129586,And Then There Were None,Agatha Christie,http://www.openisbn.com/cover/0425129586_72.jpg,Berkley,208,,
042513024X,9780425130247,The A. B. C. Murders (A Hercule Poirot Novel),Agatha Christie,http://www.openisbn.com/cover/042513024X_72.jpg,Berkley,240,,
425098451,9780425098455,N Or M?,Agatha Christie,http://www.openisbn.com/cover/0425098451_72.jpg,Berkley,240,,
440158613,9780440158615,The Moving Finger,Agatha Christie,http://www.openisbn.com/cover/0440158613_72.jpg,Bantam Doubleday Dell,189,,
425129616,9780425129616,The Mysterious Affair At Styles (Hercule Poirot),Agatha Christie,http://www.openisbn.com/cover/0425129616_72.jpg,Berkley,208,,
440186927,9780440186922,There Is A Tide,Agatha Christie,http://www.openisbn.com/cover/0440186927_72.jpg,Dell Pub Co,0,,
312979509,9780312979508,Spider's Web,Agatha Christie,,,,,
425089002,9780425089002,The Patriotic Murders,Agatha Christie,http://www.openisbn.com/cover/0425089002_72.jpg,Berkley,0,,
425067769,9780425067765,The Big Four,Agatha Christie,http://www.openisbn.com/cover/0425067769_72.jpg,Berkley,215,,
553235575,9780553235579,Mysterious Affair At Styles,Agatha Christie,http://www.openisbn.com/cover/0553235575_72.jpg,Bantam Books,0,,
425067750,9780425067758,Appointment With Death,Agatha Christie,http://www.openisbn.com/cover/0425067750_72.jpg,Berkley,0,,
425087700,9780425087701,Parker Pyne Investigates,Agatha Christie,http://www.openisbn.com/cover/0425087700_72.jpg,Berkley,208,,
2013218923,9782013218924,Le Crime De L'Orient-Express,Agatha Christie,http://www.openisbn.com/cover/2013218923_72.jpg,Livre De Poche Jeunesse,407,,
553350072,9780553350074,Witness For The Prosecution (The Agatha Christie Mystery Collection),Agatha Christie,http://www.openisbn.com/cover/0553350072_72.jpg,Bantam Books,,,
515095524,9780515095524,Burden,Agatha Christie,http://www.openisbn.com/cover/0515095524_72.jpg,Jove,0,,
671415948,9780671415945,Hickory Dickory Death,Agatha Christie,http://www.openisbn.com/cover/0671415948_72.jpg,Pocket,0,,
039607412X,9780396074120,Masterpieces Of Murder,Agatha Christie,http://www.openisbn.com/cover/039607412X_72.jpg,Dodd,,,
61003638,9780061003639,At Bertram's Hotel,Agatha Christie,http://www.openisbn.com/cover/0061003638_72.jpg,Harpercollins (Mm),245,,
425067858,9780425067857,The Labors Of Hercules (Hercule Poirot),Agatha Christie,http://www.openisbn.com/cover/0425067858_72.jpg,Berkley,272,,
425174727,9780425174722,Poirot Investigates (Hercule Poirot Mysteries),Agatha Christie,http://www.openisbn.com/cover/0425174727_72.jpg,Berkley,256,,
425104060,9780425104064,The Sittaford Mystery,Agatha Christie,http://www.openisbn.com/cover/0425104060_72.jpg,Berkley,240,,
157270120X,9781572701205,Nemesis (Cover To Cover Classics),Agatha Christie,,,,,
2702408648,9782702408643,Cartes Sur Table,Agatha Christie,http://www.openisbn.com/cover/2702408648_72.jpg,Editions Du Masque,255,,
425093255,9780425093252,Five Little Pigs (Also Published As Murder In Retrospect),Agatha Christie,http://www.openisbn.com/cover/0425093255_72.jpg,Berkley,216,,
2702426328,9782702426326,Le Vallon,Agatha Christie,http://www.openisbn.com/cover/2702426328_72.jpg,Le Masque,251,,
2702413722,9782702413722,La Maison Biscornue,Agatha Christie,http://www.openisbn.com/cover/2702413722_72.jpg,Editions Du Masque,188,,
2253009199,9782253009191,Le Crime Du Golf,Agatha Christie,http://www.openisbn.com/cover/2253009199_72.jpg,Le Livre De Poche,220,,
225302001X,9782253020011,L'Affaire Protheroe,Agatha Christie,http://www.openisbn.com/cover/225302001X_72.jpg,Le Livre De Poche,0,,
425103633,9780425103630,Murder In Mesopotamia (Hercule Poirot),Agatha Christie,http://www.openisbn.com/cover/0425103633_72.jpg,Berkley,272,,
425129608,9780425129609,Evil Under The Sun (Hercule Poirot),Agatha Christie,http://www.openisbn.com/cover/0425129608_72.jpg,Berkley,208,,
425099148,9780425099148,Death In The Clouds/Death In The Air (Hercule Poirot),Agatha Christie,http://www.openisbn.com/cover/0425099148_72.jpg,Berkley,240,,
312979738,9780312979737,The Witness For The Prosecution (St. Martin's Minotaur Mysteries),Agatha Christie,http://www.openisbn.com/cover/0312979738_72.jpg,St. Martin's Paperbacks,288,,
451201132,9780451201133,N Or M? (Tommy And Tuppence),Agatha Christie,http://www.openisbn.com/cover/0451201132_72.jpg,Signet,224,,
425129632,9780425129630,Hallowe'en Party (Hercule Poirot),Agatha Christie,http://www.openisbn.com/cover/0425129632_72.jpg,Berkley,240,,
425173917,9780425173916,The Clocks (Hercule Poirot),Agatha Christie,http://www.openisbn.com/cover/0425173917_72.jpg,Berkley,272,,
451199898,9780451199898,The Mirror Crack'd (Miss Marple Mysteries),Agatha Christie,http://www.openisbn.com/cover/0451199898_72.jpg,Signet,224,,
451201191,9780451201195,A Murder Is Announced (Miss Marple Mysteries),Agatha Christie,http://www.openisbn.com/cover/0451201191_72.jpg,Signet,240,,
312981600,9780312981600,The Mysterious Mr. Quin,Agatha Christie,http://www.openisbn.com/cover/0312981600_72.jpg,Minotaur Books,288,,
